service_name,type,category,countries_available,monthly_price_usd,annual_price_usd,launch_year,subscribers_millions,content_type,platforms,is_free,parent_company,age_group_18_24_pct,age_group_25_34_pct,age_group_35_44_pct,age_group_45_54_pct,age_group_55_64_pct,age_group_65_plus_pct,device_android_pct,device_ios_pct,device_web_pct,device_smart_tv_pct,device_gaming_console_pct,device_other_pct,engagement_cluster,arpu_usd,churn_rate_pct,subscribers_2020_millions,subscribers_2021_millions,subscribers_2022_millions,subscribers_2023_millions,subscribers_2024_millions
Netflix,VOD,Paid,Global (190+ countries),15.99,191.88,1997,301.6,"Movies, TV Shows, Originals","Web, Mobile, Smart TV, Gaming Consoles",FALSE,Netflix Inc,13.9,34.3,18.3,19,9.9,7.7,35.4,23.4,19.9,16.2,9.1,6.1,High Engagement,17.8,1.68,221.7,239.4,258.6,279.3,301.6
Amazon Prime Video,VOD,Paid,Global (200+ countries),8.99,107.88,2006,220,"Movies, TV Shows, Originals","Web, Mobile, Smart TV, Gaming Consoles",FALSE,Amazon,8.8,32.6,19,13.1,10.4,9.3,39.1,27.8,12.1,13.3,6.2,3.1,High Engagement,8.3,1.68,161.7,174.6,188.6,203.7,220
Disney+,VOD,Paid,Global (100+ countries),10.99,109.99,2019,131.6,"Movies, TV Shows, Disney Content","Web, Mobile, Smart TV, Gaming Consoles",FALSE,The Walt Disney Company,24.6,27.6,21.5,26.5,13.8,2.4,42.2,20.5,15.9,13.8,6.7,7.6,High Engagement,11.16,1.89,53.9,67.4,84.2,105.3,131.6
Max (HBO Max),VOD,Paid,"US, Latin America, Europe, Asia",15.99,149.99,2020,128,"Movies, TV Shows, HBO Originals","Web, Mobile, Smart TV, Gaming Consoles",FALSE,Warner Bros Discovery,17.3,23.7,25.6,24.5,11.2,7,42.8,18.7,16.3,16.6,8.6,5.5,High Engagement,14.51,2.1,12.8,65.5,81.9,102.4,128
iQiyi,Regional,Paid,"China, Southeast Asia, Global",2.99,29.99,2010,125,"Movies, TV Shows, Originals","Web, Mobile, Smart TV",FALSE,Baidu,16.3,26.5,21.8,16.3,11,8.7,30.6,30.9,17.4,11,9.2,2.5,High Engagement,2.63,1.68,91.9,99.2,107.2,115.7,125
Zee5,Regional,Paid,"India, Global",2.99,29.99,2018,120,"Movies, TV Shows, Originals","Web, Mobile, Smart TV",FALSE,Zee Entertainment,17.6,29.1,22.1,24.1,14.5,3.8,36.9,20.4,17.1,16.7,7.1,6.3,High Engagement,3.36,1.89,49.2,61.4,76.8,104.3,120
Tencent Video,Regional,Paid,"China, Global",2.99,29.99,2011,120,"Movies, TV Shows, Originals","Web, Mobile, Smart TV",FALSE,Tencent,14.9,19.4,17.9,15.9,15.2,8,37.1,19.6,9.8,7.8,5.1,2.9,High Engagement,3.28,1.68,68.6,95.3,102.9,111.1,120
Youku,Regional,Paid,China,2.99,29.99,2006,105,"Movies, TV Shows, Originals","Web, Mobile, Smart TV",FALSE,Alibaba Group,9,25.2,20.9,17.1,8.3,6.5,40.1,26.3,11,12,11.2,5.7,High Engagement,3.22,1.68,77.2,83.4,90,97.2,105
YouTube Premium,Music/VOD,Paid,Global (100+ countries),13.99,139.99,2015,100,"Music, Videos, Originals","Web, Mobile, Smart TV",FALSE,Google,15.1,30.7,24,21.8,13.6,3.3,38.2,25.3,9.6,11.7,9.1,7.4,Medium Engagement,12.1,2.29,57.2,65.8,75.6,87,100
Mango TV,Regional,Paid,China,2.99,29.99,2014,85,"Chinese Drama, Movies","Web, Mobile, Smart TV",FALSE,Hunan Broadcasting System,19.9,28.4,18.8,20.7,11,7.5,39.7,27.3,12.7,15.8,6.2,3.7,Medium Engagement,3.3,2.04,48.6,55.9,64.3,73.9,85
Paramount+,VOD,Paid,"US, Canada, Latin America, Europe, Australia",9.99,99.99,2021,77.5,"Movies, TV Shows, CBS Content","Web, Mobile, Smart TV, Gaming Consoles",FALSE,Paramount Global,15.3,28.5,27.9,14.2,7,7.7,29.9,24,15.8,14.3,4.9,5.6,Medium Engagement,9.8,2.55,0,7.8,49.6,62,77.5
Hotstar,Regional,Paid,"India, Southeast Asia, UK, US, Canada",2.99,29.99,2015,62,"Movies, TV Shows, Sports, News","Web, Mobile, Smart TV",FALSE,The Walt Disney Company,10.4,31.3,22.3,14.8,14.4,3.2,40.7,20.8,12.2,17.7,6.2,2.2,Medium Engagement,2.85,2.29,35.4,40.8,46.9,53.9,62
Hulu,VOD,Paid,"US, Japan",7.99,79.99,2007,50.2,"Movies, TV Shows, Originals","Web, Mobile, Smart TV, Gaming Consoles",FALSE,The Walt Disney Company,7.9,27,18.4,14.7,8.6,2.4,35.7,23.1,19.2,12.3,2.5,2.4,Medium Engagement,8.1,2.04,36.9,39.9,43,46.5,50.2
Peacock,VOD,Paid,"US, UK, Ireland, Germany, Austria, Italy",5.99,59.99,2020,34,"Movies, TV Shows, NBC Content","Web, Mobile, Smart TV, Gaming Consoles",FALSE,NBCUniversal,15,29.1,16.6,17.4,14.7,7.1,33.8,20.3,12.5,17.2,7.9,3.9,Medium Engagement,5.26,3,3.4,17.4,21.8,27.2,34
GloboPlay,Regional,Paid,"Brazil, Global",4.99,49.99,2015,32,"Movies, TV Shows, Originals","Web, Mobile, Smart TV",FALSE,Globo,12.9,28.8,24.5,18.3,6,8.7,38.6,20.3,13.3,15.4,7.7,5.4,Medium Engagement,5.37,2.7,18.3,21,24.2,27.8,32
ESPN+,Sports,Paid,US,10.99,109.99,2018,28.5,"Sports, Live Events, Documentaries","Web, Mobile, Smart TV, Gaming Consoles",FALSE,The Walt Disney Company,9.6,30.1,18,15.8,6.7,4.5,40.2,24,20.9,7.6,6,6.8,Medium Engagement,11.26,2.7,11.7,14.6,18.2,24.8,28.5
Showtime,Regional,Paid,US,10.99,109.99,1976,28,"Movies, Original Series, Sports","Web, Mobile, Smart TV",FALSE,Paramount Global,20.4,29.1,18.7,17.1,9,6.9,38.1,25.4,16.9,15.7,4.2,3.9,Medium Engagement,9.96,2.4,20.6,22.2,24,25.9,28
CuriosityStream,Specialty,Paid,Global (180+ countries),2.99,29.99,2015,26,"Documentaries, Educational","Web, Mobile, Smart TV",FALSE,CuriosityStream Inc,13.3,28.4,24.6,19.1,13.1,3.5,32.6,31.2,17.7,7.5,9.7,4.2,Medium Engagement,2.71,2.7,14.9,17.1,19.7,22.6,26
Apple TV+,VOD,Paid,Global (100+ countries),9.99,99.99,2019,25,"Movies, TV Shows, Originals","Web, Mobile, Smart TV, Gaming Consoles",FALSE,Apple Inc,13.6,33.9,19.1,10.8,6.9,5.1,38.1,32.7,17.1,10.8,3.4,6.6,Medium Engagement,9.04,2.7,10.2,12.8,16,20,25
Discovery+,Regional,Paid,"US, UK, Europe, India",4.99,49.99,2020,25,"Documentaries, Reality TV","Web, Mobile, Smart TV",FALSE,Warner Bros Discovery,16.8,28.3,23.9,24.7,11.9,5.4,38.1,26.9,18.8,17.3,4.1,4.3,Medium Engagement,4.33,3,2.5,12.8,16,20,25
SonyLIV,Regional,Paid,"India, Global",4.99,49.99,2013,25,"Movies, TV Shows, Sports","Web, Mobile, Smart TV",FALSE,Sony Pictures Networks,21.9,27.6,19.8,15.7,14.1,3.1,39.3,28.7,16,8,10.1,6.3,Medium Engagement,5.12,2.4,14.3,16.4,18.9,23.1,25
DAZN,Sports,Paid,Global (200+ countries),19.99,199.99,2016,18,"Sports, Live Events","Web, Mobile, Smart TV, Gaming Consoles",FALSE,DAZN Group,21.8,27.9,21.3,14.9,16.8,10.5,37.7,18.8,12.5,8.3,4.1,3.9,Low Engagement,22.03,2.7,7.4,11.8,13.6,15.7,18
Crunchyroll,Specialty,Paid,Global (200+ countries),7.99,79.99,2006,18,"Anime, Manga","Web, Mobile, Smart TV, Gaming Consoles",FALSE,Sony Pictures Entertainment,10.4,31.8,24.7,19.5,5.7,7.2,32.8,23.3,16.7,12.2,9.6,5.1,Low Engagement,6.83,2.4,13.2,14.3,15.4,16.7,18
Starz,Regional,Paid,"US, Canada, UK",9.99,99.99,1994,15,"Movies, Original Series","Web, Mobile, Smart TV",FALSE,Lionsgate,13.3,27.2,19.1,16,12,3.1,33.8,25.5,17.6,15.7,6,2.9,Low Engagement,8.64,2.4,11,11.9,12.9,13.9,15
IQIYI (International),Regional,Paid,"Southeast Asia, Global",4.99,49.99,2016,15,"Asian Drama, Movies","Web, Mobile, Smart TV",FALSE,Baidu,15.1,20.9,19.8,17.5,14.1,4.5,34.6,24.3,18,10,5.5,5.9,Low Engagement,5.1,2.7,6.1,9.9,11.3,13,15
WeTV,Regional,Paid,"Southeast Asia, Global",2.99,29.99,2018,12,"Asian Drama, Movies","Web, Mobile, Smart TV",FALSE,Tencent,23.4,31.7,28.2,16.5,12.1,6.3,33.3,23.5,10,14.4,6.8,6.9,Low Engagement,3.28,2.7,4.9,6.1,7.7,10.4,12
